anidbid, title_type, language, title
34	official	de	Fruits Basket
34	official	pt-BR	Fruits Basket - A Série
34	official	vi	Hoá giải lời nguyền
34	official	he	פרוטס באסקט
34	official	zh	幻影天使
34	short	x-jat	FB
34	short	x-jat	fruba
34	synonym	th	เสน่ห์สาวข้าวปั้น
34	synonym	pt-BR	Cesta de Frutas
34	synonym	es	Cesta de frutas
34	synonym	x-jat	Furuba
34	synonym	vi	Giỏ Trái Cây
34	synonym	tr	Meyve Sepeti
34	synonym	pl	Owocowy koszyk
34	synonym	ru	Корзина Фруктов
34	synonym	ru	Корзинка фруктов
34	synonym	uk	Кошик фруктів
34	synonym	bg	Кошница с плодове
34	synonym	zh-Hans	水果篮子
35	main	x-jat	Love Hina
35	official	ko	러브 히나
35	official	ja	ラブひな
35	official	th	เลิฟฮินะ
35	official	de	Love Hina
35	official	pt	Love Hina
35	official	pl	Love Hina
35	official	es	Love Hina
35	official	sv	Love Hina
35	official	fi	Love Hina
35	official	fr	Love Hina
35	official	da	Love Hina
35	official	pt-BR	Love Hina
35	official	en	Love Hina
35	short	x-jat	LH
35	synonym	th	บ้านพักอลเวง
35	synonym	x-jat	Love Hina tv
35	synonym	uk	Кохання та Хіна
35	synonym	ru	Любовь и Хина
35	synonym	ru	С любовью, Хина
35	synonym	zh-Hans	纯情房东俏房客
36	main	x-jat	Iketeru Futari
36	official	ja	イケてる2人
36	short	x-jat	IF
36	synonym	en	Cool Couple
36	synonym	ru	Клевая пара
38	main	x-jat	Koutetsu Tenshi Kurumi Zero
38	official	en	Steel Angel Kurumi Zero
38	official	ja	鋼鉄天使くるみ零
38	short	x-jat	kurumi0
38	synonym	x-jat	kurumi zero
39	main	x-jat	Slayers
39	official	ko	마법소녀 리나
39	official	ja	スレイヤーズ
39	official	es-LA	Los Justicieros
39	official	pl	Magiczni wojownicy
39	official	es	Reena y Gaudy
39	official	en	Slayers
39	official	ro	Slayers
39	official	fr	Slayers
39	official	de	Slayers
39	official	hu	Slayers-A kis boszorkány
39	official	cs	Slayers - Lina, postrach banditů
39	official	it	Un incantesimo dischiuso tra i petali del tempo
39	official	el	Ρίνα η Ξιφομάχος
39	official	ru	Рубаки
39	synonym	ko	슬레이어즈
39	synonym	ro	Slayers - Micuţa Vrăjitoare
39	synonym	x-jat	Slayers TV
39	synonym	en	The Slayers
39	synonym	zh-Hans	秀逗魔导士
40	main	x-jat	Fushigi no Umi no Nadia
40	official	de	Die Macht des Zaubersteins
40	official	fi	Matka maapallon ympäri
40	official	it	Nadia - Il mistero della pietra azzurra
40	official	fr	Nadia, le secret de l`eau bleue
40	official	tr	Nadia: Mavi Suyun Esrarı
40	official	en	Nadia: Secret of Blue Water
40	official	ar	الماسة الزرقاء
40	official	ja	ふしぎの海のナディア
40	short	x-jat	Nadia
40	short	x-jat	nadia tv
40	synonym	ko	신비한 바다의 나디아
40	synonym	tl	Ang Mahiwagang Kwintas
40	synonym	it	Il mistero della pietra azzurra
40	synonym	ca	Nadia: el Secret de l`Aigua Blau
40	synonym	es	Nadia: el Secreto del Agua Azul
40	synonym	en	Nadia of the Mysterious Seas
40	synonym	en	Nadia: The Secret of Blue Water
40	synonym	en	The Secret of Blue Water
40	synonym	ru	Надя c загадочного моря
40	synonym	zh-Hans	不可思议之海的娜迪娅
40	synonym	zh	冒險少女娜汀亞
42	main	x-jat	Shadow Skill (1998)
42	official	en	Shadow Skill
42	official	de	Shadow Skill
42	official	fr	Shadow Skill - Frère et sœur d`armes
42	official	ja	SHADOW SKILL ～影技～ (1998)
42	short	x-jat	ss
42	short	x-jat	sstv
42	short	x-jat	ss tv
42	synonym	ja	シャドウスキル
42	synonym	x-jat	Shadow Skill - Eigi
42	synonym	x-jat	Shadow Skill TV
43	main	x-jat	Blood: The Last Vampire
43	official	th	บลัด เดอะลาสท์แวมไพร์
43	official	hu	Blood - Az utolsó vámpír
43	official	es	Blood, el último vampiro
43	official	ca	Blood, l`últim vampir
43	official	pt	Blood: O Último Vampiro
43	official	fr	Blood - The Last Vampire
43	official	it	Blood - The Last Vampire
43	official	ja	BLOOD THE LAST VAMPIRE
43	official	fi	Blood: The Last Vampire
43	official	pl	Blood: The Last Vampire
43	official	en	Blood: The Last Vampire
43	official	de	Blood: The Last Vampire
43	official	zh	Blood - 最后的吸血鬼
43	official	ru	Кровь
43	short	x-jat	Blood
43	short	en	BtLV
43	synonym	sv	Blood - The Last Vampire
43	synonym	bg	Blood: Последния вампир
43	synonym	tr	Kan: Son Vampir
43	synonym	lt	Kraujas: Paskutinis vampyras
43	synonym	ru	Кровь: Последний вампир
43	synonym	bg	Кръв: Последният вампир
44	main	x-jat	Amon Devilman Mokushiroku
44	official	ja	アモン デビルマン黙示録
44	short	x-jat	Amon
44	short	x-jat	Devil Man
44	synonym	en	Apocalypse of Devilman
45	main	x-jat	Gun Smith Cats
45	official	ja	GUN SMITH CATS
45	official	de	Gun Smith Cats
45	official	en	Gunsmith Cats
45	official	fr	Gunsmith Cats
45	short	x-jat	gc
45	short	x-jat	GSC
45	synonym	ja	ガンスミスキャッツ
45	synonym	ja	ガン・スミス・キャッツ
46	main	x-jat	NieA Under 7
46	official	ja	ニア アンダーセブン
46	official	de	NieA_7
46	official	fr	NieA_7
46	short	x-jat	NieA
46	short	x-jat	NieA 7
47	main	x-jat	Scryed
47	official	ja	スクライド
47	official	en	s-CRY-ed
47	official	fr	s-CRY-ed
47	official	pt-BR	s-CRY-ed
47	synonym	bg	s-Cry-ed
47	synonym	zh-Hans	分身战士
48	main	x-jat	Ippatsu Kikimusume
48	official	ja	イッパツ危機娘
48	short	x-jat	ik
48	synonym	en	Dangerous Girl
48	synonym	en	Miss Critical Moment
49	main	x-jat	Love Hina Again
49	official	ja	ラブひな Again
49	official	de	Love Hina Again
49	official	en	Love Hina Again
49	short	x-jat	LHA
49	short	x-jat	LH Again
49	synonym	ru	Снова c любовью, Хина
49	synonym	ru	Снова любовь и Хина
50	main	x-jat	Argento Soma
50	official	en	Argentosoma
50	official	fr	Argento Soma
50	official	ja	アルジェントソーマ ΑΠΗΕΝΤΟ ΣΟΜΑ
50	short	x-jat	Soma
50	synonym	el	Απήεντο Σομα
50	synonym	el	Απήεντο Σώμα
50	synonym	zh-Hans	沉默的未知
