id, releasetitle, country
540	Revelations (UK)	UK
541	McCready and Daughter	UK
542	Harold and the Purple Crayon	US
543	Your All American College Show	US
544	Tiswas	UK
545	Moon and Son	UK
546	On Common Ground	US
547	The Experiment	UK
548	TNA Pay-Per-View	US
549	A.J.'s Time Travelers	US
550	Bug Juice	US
551	Tall Tales and Legends	US
552	Under the Umbrella Tree	CA
553	The Morecambe & Wise Show	UK
554	Cardcaptor Sakura	JP
555	Washingtoon	US
556	Brass Eye	UK
557	Big Train	UK
558	The Railway Children (1968)	UK
6716	Close To Home	US
560	Shipmates (US)	US
561	The Savages	UK
562	The Eddie Cantor Comedy Theatre	US
563	The Magic Basket	US
564	Kath & Kim (AU)	AU
21579	Hero Corp	FR
566	Victoria Wood	UK
567	WWE Confidential	US
568	Campus Cops	US
569	That Peter Kay Thing	UK
570	The Tomorrow People (1992)	UK
571	Out of Tune	UK
572	Harry Enfield's Brand Spanking New Show	UK
573	Daisy Daisy	UK
574	RI:SE	UK
575	WWE The Bottom Line	US
576	WWE After Burn	US
23099	Modern Love	US
578	Supply and Demand	UK
579	Mister Roberts	US
580	The Last Resort (US)	US
581	The Martha Raye Show	US
582	Late World with Zach	US
583	Crank Yankers	US
584	Varsity Blues	US
585	Ready Steady Go!	UK
586	Short Cuts	AU
587	The Big Comfy Couch	CA
588	I Love Mummy	CA
589	The World of David the Gnome	ES
590	Captain Scarlet and the Mysterons	UK
14666	Vampire Secrets	US
592	Party Wagon	US
593	Defenders of the Earth	US
594	Power Stone	CA
595	Fireball XL5	UK
596	Rollerjam	US
597	Super Special Double Dare	US
598	Dark Season	UK
599	Bulman	UK
600	Mataku	NZ
11114	Dragon Hunters	FR
602	X	JP
603	Three's a Crowd (2000)	US
604	N-List	UK
605	Whammy! The All-New Press Your Luck	US
606	Hollywood Showdown	US
607	Greed (US)	US
608	Gladiators	UK
609	The Bobby Heenan Show	US
610	Robotix	US
611	Sectaurs	US
612	Beyond the Glory	US
613	Father Dear Father	UK
614	Initial D	JP
615	Great Pretenders	US
616	Looking for Love: Bachelorettes in Alaska	US
617	Legends of the Super-Heroes	US
618	Animal Crackers	CA
619	The Hunted	US
620	Celeb	UK
621	"orrible	UK
622	What Would You Do?	US
623	Terrahawks	UK
624	Mike, Lu & Og	US
625	The Andy Williams Show (1962)	US
626	The Andy Williams Show (1969)	US
627	Skwids	""
628	Rockface	UK
629	Movie House	US
630	The Croc Files	AU
632	Look at the State We're In!	UK
633	At Last the 1948 Show	UK
634	The Strange Legacy of Cameron Cruz	US
635	Seven Little Monsters	US
636	Old Tom	AU
637	Sam and Max Freelance Police	US
638	Totally in Tune	US
639	Sir Bernard's Stately Homes	UK
640	Lady Chatterley's Stories	US
641	Castle Haven	UK
642	John Safran's Music Jamboree	AU
644	G Gundam (US)	AJ
645	TVography	US
14689	The Russell Brand Show	UK
647	BTX	JP
648	Cutey Honey	JP
649	The Legacy of Reginald Perrin	UK
650	Edward and Mrs Simpson	UK
651	Psychos	UK
652	The Adventures of Lano and Woodley	AU
653	The Wind in the Willows (UK)	UK
654	All Gas and Gaiters	UK
655	I Bet You Will	US
656	Flame of Recca	JP
657	WXO Wrestling	US
658	Bramwell	UK
659	Hot Metal	UK
660	Strange Report	UK
661	Young Lions	AU
662	AWF Warriors of Wrestling	US
663	Junior High	US
664	Sci Squad	US
665	The Huggabug Club	US
666	Check It Out	CA
667	A Bit of Fry & Laurie	UK
668	Poldark	UK
669	I, Claudius	UK
670	Other People's Children	UK
671	Exposure	US
672	Rank	US
673	¡Mucha Lucha!	US
674	Meet the Marks	US
675	Forever	UK
676	My Dad's the Prime Minister	UK
677	I'm a Celebrity, Get Me Out of Here! (UK)	UK
678	Believe Nothing	UK
679	Hot Wheels	US
680	Lenny Henry in Pieces	UK
681	National Velvet	US
682	The Head	US
683	Joe 90	UK
684	Snow Queen	CA
685	WCW WorldWide	US
686	Walking With Beasts	UK
687	Walking with Dinosaurs	UK
688	The Secret Service	UK
689	Kratts' Creatures	US
690	Timeline (1989)	US
691	In Search of Ancient Ireland	US
692	Let's Bowl	US
693	Joe Bash	US
694	The Ranch	CA
695	The House That Jack Built	UK
696	30 Seconds to Fame	US
697	Rockpoint P.D.	CA
698	Littl' Bits	JP
699	One Hit Wonders	US
701	Unwrapped	US
702	The Biz	UK
703	Up & Coming	US
704	Freewheelers	UK
705	The Greatest	US
706	The Chinese Detective	UK
707	Being April	UK
708	House Invaders	UK
709	Asylum	UK
710	Any Time Now	UK
711	Making the Cut	CA
712	River City	UK
713	JBVO	US
714	Popstars: The Rivals	UK
715	White Teeth	UK
716	Jam	UK
717	Fist of Fun	UK
718	The Toxic Crusaders	US
719	Mad Jack the Pirate	US
720	Invasion of the Hidden Cameras	US
721	The Brothers	UK
722	The Adventures of Spin and Marty	US
723	The Last Resort (UK)	UK
724	Play with Me Sesame	US
725	Lost on Earth	US
726	Love, Hate and Joy	US
727	Contest Searchlight	US
728	Heart and Soul	KE
729	LOL: Laugh out Loud	UK
730	Olliver's Adventures	CA
731	Comic Remix	US
732	The Young Doctors	AU
733	Tom Snyder	US
734	Tightrope (US)	US
735	Out of the Blue (UK)	UK
736	Noel's House Party	UK
737	Going Wild with Jeff Corwin	US
738	Me and My Girl	UK
739	Daft Planet	CA
20686	Trivial Pursuit: America Plays	US
741	Hellsing (JP)	JP
742	Revolutionary Girl Utena	JP
743	The Irresponsible Captain Tylor	JP
744	Angel Sanctuary	JP
745	Tribes	US
746	Commander Cork	US
747	Maktar	US
748	Longhair & Doubledome	US
749	Comic Groove	US
750	Coronado 9	US
751	Riding High	NZ
752	Bowler	UK
753	Secret Bodyguard	""
12664	Morangos com Açúcar	PT
755	Date with the Angels	US
756	The Bluffers	NL
758	The Saturday Night Armistice	UK
759	Grady	US
760	WMAC Masters	US
761	Do Not Adjust Your Set	UK
762	Saturday Supercade	US
763	Legends Of The Hidden Temple	US
764	\"A\" for Andromeda (1961)	UK
765	Fat Cow Motel	AU
766	Tracey McBean	AU
767	Phoenix Nights	UK
768	Ocean Avenue	SE
769	Fort Boyard	UK
770	The Paradise Club	UK
771	Two Thousand Acres of Sky	UK
772	Banzai	UK
773	The Plucky Duck Show	US
774	Ace Lightning	CA
775	BattleTech	US
776	Saturday Disney	AU
777	Wacko	US
778	Moville Mysteries	CA
779	SPYnet	CA
780	Bracken	IE
781	The Steven Banks Show	US
782	Brideshead Revisited	UK
783	Forensic Files	US
784	Futurecast	UK
785	Judge John Deed	UK
786	Milkman	""
787	Center Stage	US
788	Maggie... At Home With	AU
789	Elvira's Movie Macabre	US
790	SoulTaker	JP
791	I'm a Celebrity, Get Me Out of Here! (US)	US
792	Fushigi Yuugi	JP
793	The Sean Cullen Show	CA
